date,value
1996-01-31,75.7
1996-02-29,76.3
1996-03-31,76.7
1996-04-30,77.0
1996-05-31,76.8
1996-06-30,76.8
1996-07-31,76.7
1996-08-31,75.9
1996-09-30,75.3
1996-10-31,75.0
1996-11-30,75.0
1996-12-31,75.2
1997-01-31,76.6
1997-02-28,76.8
1997-03-31,76.5
1997-04-30,76.9
1997-05-31,77.6
1997-06-30,78.0
1997-07-31,77.6
1997-08-31,77.0
1997-09-30,76.9
1997-10-31,76.8
1997-11-30,77.0
1997-12-31,77.4
1998-01-31,78.2
1998-02-28,78.2
1998-03-31,77.9
1998-04-30,78.3
1998-05-31,78.8
1998-06-30,78.9
1998-07-31,78.3
1998-08-31,77.6
1998-09-30,77.2
1998-10-31,76.9
1998-11-30,77.0
1998-12-31,77.2
1999-01-31,77.9
1999-02-28,77.9
1999-03-31,77.8
1999-04-30,78.0
1999-05-31,78.0
1999-06-30,77.6
1999-07-31,76.9
1999-08-31,76.1
1999-09-30,75.7
1999-10-31,75.5
1999-11-30,75.7
1999-12-31,75.8
2000-01-31,76.6
2000-02-29,77.1
2000-03-31,76.5
2000-04-30,76.9
2000-05-31,77.2
2000-06-30,77.2
2000-07-31,76.9
2000-08-31,76.2
2000-09-30,75.9
2000-10-31,75.8
2000-11-30,76.2
2000-12-31,76.7
2001-01-31,77.9
2001-02-28,78.2
2001-03-31,78.9
2001-04-30,80.2
2001-05-31,81.6
2001-06-30,81.9
2001-07-31,81.4
2001-08-31,80.2
2001-09-30,80.0
2001-10-31,80.1
2001-11-30,79.6
2001-12-31,80.1
2002-01-31,82.4
2002-02-28,82.0
2002-03-31,81.8
2002-04-30,81.8
2002-05-31,81.7
2002-06-30,81.0
2002-07-31,80.5
2002-08-31,79.7
2002-09-30,79.6
2002-10-31,79.3
2002-11-30,79.0
2002-12-31,79.3
2003-01-31,80.1
2003-02-28,80.5
2003-03-31,80.8
2003-04-30,81.0
2003-05-31,81.0
2003-06-30,81.3
2003-07-31,80.8
2003-08-31,80.0
2003-09-30,80.3
2003-10-31,80.4
2003-11-30,80.2
2003-12-31,80.3
2004-01-31,81.1
2004-02-29,80.8
2004-03-31,80.6
2004-04-30,80.7
2004-05-31,80.9
2004-06-30,81.0
2004-07-31,80.5
2004-08-31,79.8
2004-09-30,79.3
2004-10-31,79.3
2004-11-30,79.2
2004-12-31,80.0
2005-01-31,80.3
2005-02-28,80.8
2005-03-31,81.1
2005-04-30,81.0
2005-05-31,81.4
2005-06-30,81.5
2005-07-31,80.8
2005-08-31,80.2
2005-09-30,80.1
2005-10-31,79.8
2005-11-30,80.0
2005-12-31,80.6
2006-01-31,81.4
2006-02-28,81.7
2006-03-31,81.6
2006-04-30,81.9
2006-05-31,82.6
2006-06-30,82.7
2006-07-31,82.5
2006-08-31,82.2
2006-09-30,82.5
2006-10-31,82.1
2006-11-30,82.3
2006-12-31,82.6
2007-01-31,83.5
2007-02-28,83.4
2007-03-31,83.2
2007-04-30,84.1
2007-05-31,84.0
2007-06-30,84.1
2007-07-31,84.0
2007-08-31,84.2
2007-09-30,84.5
2007-10-31,85.9
2007-11-30,86.8
2007-12-31,87.3
2008-01-31,88.5
2008-02-29,88.6
2008-03-31,89.1
2008-04-30,89.4
2008-05-31,89.4
2008-06-30,89.4
2008-07-31,89.6
2008-08-31,89.3
2008-09-30,89.1
2008-10-31,89.3
2008-11-30,88.5
2008-12-31,89.0
2009-01-31,89.4
2009-02-28,89.5
2009-03-31,89.0
2009-04-30,88.7
2009-05-31,88.3
2009-06-30,88.6
2009-07-31,87.6
2009-08-31,86.8
2009-09-30,86.6
2009-10-31,86.5
2009-11-30,86.8
2009-12-31,87.3
2010-01-31,88.2
2010-02-28,88.4
2010-03-31,89.2
2010-04-30,89.8
2010-05-31,89.2
2010-06-30,89.4
2010-07-31,89.5
2010-08-31,88.9
2010-09-30,88.9
2010-10-31,88.8
2010-11-30,89.5
2010-12-31,90.4
2011-01-31,90.8
2011-02-28,91.5
2011-03-31,91.7
2011-04-30,91.8
2011-05-31,92.2
2011-06-30,91.7
2011-07-31,91.7
2011-08-31,91.4
2011-09-30,91.8
2011-10-31,92.0
2011-11-30,92.3
2011-12-31,92.7
2012-01-31,93.7
2012-02-29,94.7
2012-03-31,95.1
2012-04-30,94.9
2012-05-31,94.6
2012-06-30,94.9
2012-07-31,94.3
2012-08-31,94.3
2012-09-30,94.3
2012-10-31,94.8
2012-11-30,95.8
2012-12-31,96.7
2013-01-31,97.4
2013-02-28,97.4
2013-03-31,98.2
2013-04-30,98.3
2013-05-31,99.1
2013-06-30,99.3
2013-07-31,99.1
2013-08-31,98.2
2013-09-30,98.0
